"Бурштын
(укр. Бурштин)";"";"Ивано-Франковская область";"15 298";1596
"Бурынь
(укр. Буринь)";"";"Сумская область";"11 678";1392
"Буск
(укр. Буськ)";"Бужеск
Бужск";"Львовская область";"8 673";1097
"Буча
(укр. Буча)";"";"Киевская область";"28 533";1630
"Бучач
(укр. Бучач)";"";"Тернопольская область";"12 549";1260
"Валки
(укр. Валки)";"";"Харьковская область";"10 381";1646
"Вараш
(укр. Вараш)";"Вараш (до 1973)
посёлок ЗУАЭС (до 1977)
Кузнецовск (до 2016)";"Ровненская область";"38 830";1973
"Васильевка
(укр. Василівка)";"";"Запорожская область";"15 592";1740
"Васильков
(укр. Васильків)";"Васильев (до 1157)";"Киевская область";"39 722";988
"Ватутино
(укр. Ватутіне)";"Шахтинское (до 1949)";"Черкасская область";"20 156";1946
"Вашковцы
(укр. Вашківці)";"";"Черновицкая область";"5 987";1431
"Великие Мосты
(укр. Великі Мости)";"";"Львовская область";"5 925";1472
"Верхнеднепровск
(укр. Верхньодніпровськ)";"Григорьевка (до 1785)
Новогригорьевка (до 1806)";"Днепропетровская область";"16 976";1779
"Верховцево
(укр. Верхівцеве)";"";"Днепропетровская область";"10 142";1884
"Вижница
(укр. Вижниця)";"";"Черновицкая область";"5 021";1501
"Вилково
(укр. Вилкове)";"Липованское";"Одесская область";"9 260";1746
"Винники
(укр. Винники)";"";"Львовская область";"13 654";1352
"Винница
(укр. Вінниця)";"";"Винницкая область";"356 665";1355
"Виноградов
(укр. Виноградів)";"Севлюш (до 1946)";"Закарпатская область";"25 760";1262
"Вишнёвое
(укр. Вишневе)";"";"Киевская область";"34 465";1887
"Владимир-Волынский
(укр. Володимир-Волинський)";"";"Волынская область";"38 256";988
"Вознесеновка
(укр. Вознесенівка)";"Червонопартизанск (до 2016)";"Луганская область";"17 680";1947
"Вознесенск
(укр. Вознесенськ)";"Соколы";"Николаевская область";"42 634";1795
"Волноваха
(укр. Волноваха)";"";"Донецкая область";"24 647";1881
"Волочиск
(укр. Волочиськ)";"";"Хмельницкая область";"20 958";1463
"Волчанск
(укр. Вовчанськ)";"";"Харьковская область";"20 695";1674
"Вольногорск
(укр. Вільногірськ)";"";"Днепропетровская область";"23 782";1956
"Вольнянск
(укр. Вільнянськ)";"Софиевка (до 1935)
Красноармейское (до 1939)
Червоноармейское (до 1966)";"Запорожская область";"16 522";1840
"Ворожба
(укр. Ворожба)";"";"Сумская область";"8 384";1672
"Вышгород
(укр. Вишгород)";"";"Киевская область";"22 933";946
"Гадяч
(укр. Гадяч)";"";"Полтавская область";"22 698";1533
"Гайворон
(укр. Гайворон)";"";"Кировоградская область";"16 126";1752
"Гайсин
(укр. Гайсин)";"";"Винницкая область";"25 640";1545
"Галич
(укр. Галич)";"";"Ивано-Франковская область";"6 495";898
"Геническ
(укр. Генічеськ)";"Салинэ (до 1562)
Неонтихос (до 1784)
Геничи (до 1837)";"Херсонская область";"21 793";1784
"Герца
(укр. Герца)";"";"Черновицкая область";"2 068";1408
"Глиняны
(укр. Глиняни)";"";"Львовская область";"3 378";1379
"Глобино
(укр. Глобине)";"Малый Кагамлычёк";"Полтавская область";"12 902";1737
"Глухов
(укр. Глухів)";"";"Сумская область";"35 768";992
"Гнивань
(укр. Гнівань)";"";"Винницкая область";"12 832";1629
"Голая Пристань
(укр. Гола Пристань)";"";"Херсонская область";"16 028";1786
"Голубовка
(укр. Голубівка";"Голубовский Рудник (до 1944)
Кировск (с 1962 до 2016)";"Луганская область";"35 199";1764
"Горишние Плавни
(укр. Горішні Плавні)";"Комсомольск (до 2016)";"Полтавская область";"51 740";1960
"Горловка
(укр. Горлівка)";"";"Донецкая область";"292 250";1779
"Горняк
(укр. Гірник)";"Соцгородок (до 1958)";"Донецкая область";"14 207";1938
"Городенка
(укр. Городенка)";"";"Ивано-Франковская область";"9 794";1668
"Городище
(укр. Городище)";"";"Черкасская область";"15 645";1050
"Городня
(укр. Городня)";"";"Черниговская область";"14 043";"XVII век"
"Городок
(укр. Городок)";"Грудек Ягеллонский";"Львовская область";"16 082";1213
"Городок
(укр. Городок)";"";"Хмельницкая область";"17 746";1362
"Горохов
(укр. Горохів)";"";"Волынская область";"9 015";1240
"Горское
(укр. Гірське)";"";"Луганская область";"11 473";1898
"Гребёнка
(укр. Гребінка)";"Тень (до 1901)";"Полтавская область";"11 662";1895
"Гуляйполе
(укр. Гуляйполе)";"";"Запорожская область";"17 077";"1770-е"
"Дебальцево
(укр. Дебальцеве)";"";"Донецкая область";"30 246";1878
"Деражня
(укр. Деражня)";"";"Хмельницкая область";"10 446";1431
